"timestamp","manufacturer_name","racket_name","swing_type","impact_position","ball_speed[km/h]","ball_spin","swing_speed[km/h]","tag_id","video_filename"
"2016-11-05 12:46:31","Wilson","BLADE 98 18x20","SMASH","20","109","3","101","",""
"2016-11-05 12:46:34","Wilson","BLADE 98 18x20","SMASH","19","114","4","107","",""
"2016-11-05 12:46:37","Wilson","BLADE 98 18x20","BACKHAND_VOLLEY","13","79","-3","59","",""
"2016-11-05 12:46:40","Wilson","BLADE 98 18x20","SMASH","18","116","4","107","",""
"2016-11-05 12:46:43","Wilson","BLADE 98 18x20","SMASH","13","119","3","104","",""
"2016-11-05 12:46:55","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","62","3","66","",""
"2016-11-05 12:46:57","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","13","87","2","78","",""
"2016-11-05 12:46:59","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","12","86","3","103","",""
"2016-11-05 12:47:02","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","12","71","4","95","",""
"2016-11-05 12:47:04","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","94","4","108","",""
"2016-11-05 12:47:06","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","13","71","4","67","",""
"2016-11-05 12:47:11","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","84","3","90","",""
"2016-11-05 12:47:21","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","91","4","108","",""
"2016-11-05 12:47:23","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","13","78","3","63","",""
"2016-11-05 12:47:24","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","84","2","85","",""
"2016-11-05 12:47:27","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","68","2","66","",""
"2016-11-05 12:47:33","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","89","4","107","",""
"2016-11-05 12:47:35","Wilson","BLADE 98 18x20","BACKHAND_VOLLEY","19","77","-2","47","",""
"2016-11-05 12:47:38","Wilson","BLADE 98 18x20","FOREHAND_SLICE","13","99","-5","82","",""
"2016-11-05 12:47:40","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","69","2","78","",""
"2016-11-05 12:47:43","Wilson","BLADE 98 18x20","FOREHAND_SLICE","13","97","-5","81","",""
"2016-11-05 12:47:45","Wilson","BLADE 98 18x20","BACKHAND_SLICE","10","75","-5","75","",""
"2016-11-05 12:47:47","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","14","84","2","77","",""
"2016-11-05 12:47:49","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","74","2","86","",""
"2016-11-05 12:47:50","Wilson","BLADE 98 18x20","BACKHAND_SLICE","11","68","-7","74","",""
